,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
737,Rocket,Cody Lovaas,6,0.357,0.357,10.0,-8.074,1.0,0.0508,0.764,0.0,0.108,0.22,86.807,audio_features,2wP2B8UK0bGsyFFXyGUSdM,spotify:track:2wP2B8UK0bGsyFFXyGUSdM,https://api.spotify.com/v1/tracks/2wP2B8UK0bGsyFFXyGUSdM,https://api.spotify.com/v1/audio-analysis/2wP2B8UK0bGsyFFXyGUSdM,168714.0,4.0
738,How Many Nights Do You Dance With Tears in Your Eyes?,Love You Later,6,0.575,0.303,1.0,-16.589,1.0,0.0282,0.311,0.0,0.111,0.583,110.016,audio_features,16jW8PNQseKTU8RW9GIsvc,spotify:track:16jW8PNQseKTU8RW9GIsvc,https://api.spotify.com/v1/tracks/16jW8PNQseKTU8RW9GIsvc,https://api.spotify.com/v1/audio-analysis/16jW8PNQseKTU8RW9GIsvc,288589.0,4.0
739,Impatiently Falling,Adam Ragsdale,6,0.272,0.122,10.0,-16.602,1.0,0.042,0.952,0.000235,0.187,0.204,207.31,audio_features,4NbhRE8bdO80MZ33wa4V1U,spotify:track:4NbhRE8bdO80MZ33wa4V1U,https://api.spotify.com/v1/tracks/4NbhRE8bdO80MZ33wa4V1U,https://api.spotify.com/v1/audio-analysis/4NbhRE8bdO80MZ33wa4V1U,277000.0,3.0
740,The Closest to That,Avery Lynch,6,0.577,0.113,11.0,-12.346,1.0,0.0811,0.971,0.0,0.1,0.431,109.472,audio_features,0vRHprl1mjE3QsARgsLRkl,spotify:track:0vRHprl1mjE3QsARgsLRkl,https://api.spotify.com/v1/tracks/0vRHprl1mjE3QsARgsLRkl,https://api.spotify.com/v1/audio-analysis/0vRHprl1mjE3QsARgsLRkl,217500.0,4.0
741,If I Really Love You,Lexi Jayde,6,0.498,0.241,0.0,-14.096,1.0,0.0324,0.776,2.51e-05,0.113,0.131,121.848,audio_features,3l3lUyNu5zh6H6uByc5Xnr,spotify:track:3l3lUyNu5zh6H6uByc5Xnr,https://api.spotify.com/v1/tracks/3l3lUyNu5zh6H6uByc5Xnr,https://api.spotify.com/v1/audio-analysis/3l3lUyNu5zh6H6uByc5Xnr,194754.0,4.0
742,The Chocolate Cake Song,Wes Fowler,6,0.713,0.18,7.0,-9.747,1.0,0.0434,0.896,4.12e-05,0.102,0.392,82.486,audio_features,6HixN5KQdFqqPwbIgT9yXh,spotify:track:6HixN5KQdFqqPwbIgT9yXh,https://api.spotify.com/v1/tracks/6HixN5KQdFqqPwbIgT9yXh,https://api.spotify.com/v1/audio-analysis/6HixN5KQdFqqPwbIgT9yXh,158909.0,4.0
743,Lost Soul,Cara Rose,6,0.408,0.229,7.0,-10.564,1.0,0.0287,0.955,0.00281,0.114,0.199,97.928,audio_features,49xC33NPuALuSygwWXD4fm,spotify:track:49xC33NPuALuSygwWXD4fm,https://api.spotify.com/v1/tracks/49xC33NPuALuSygwWXD4fm,https://api.spotify.com/v1/audio-analysis/49xC33NPuALuSygwWXD4fm,171875.0,4.0
744,The Art Of Getting By,Laura Zocca,6,0.536,0.189,11.0,-12.245,1.0,0.0301,0.831,0.0,0.117,0.341,80.346,audio_features,43rWni1MoV8PKPDGjx3cN7,spotify:track:43rWni1MoV8PKPDGjx3cN7,https://api.spotify.com/v1/tracks/43rWni1MoV8PKPDGjx3cN7,https://api.spotify.com/v1/audio-analysis/43rWni1MoV8PKPDGjx3cN7,219934.0,4.0
745,"Cry Me a River - Recorded at Metropolis Studios, London",Nina Nesbitt,6,0.665,0.252,3.0,-8.407,0.0,0.0323,0.855,0.0,0.113,0.339,121.994,audio_features,3pRtmEYL0hN9Lgn0IkNOra,spotify:track:3pRtmEYL0hN9Lgn0IkNOra,https://api.spotify.com/v1/tracks/3pRtmEYL0hN9Lgn0IkNOra,https://api.spotify.com/v1/audio-analysis/3pRtmEYL0hN9Lgn0IkNOra,301145.0,4.0
746,I Like You,Harry Strange,6,0.782,0.322,8.0,-11.487,1.0,0.0693,0.542,2.77e-06,0.119,0.672,160.108,audio_features,6fQM2cvQOPmgDy8PLpv1lV,spotify:track:6fQM2cvQOPmgDy8PLpv1lV,https://api.spotify.com/v1/tracks/6fQM2cvQOPmgDy8PLpv1lV,https://api.spotify.com/v1/audio-analysis/6fQM2cvQOPmgDy8PLpv1lV,159000.0,4.0
747,I Won't,Richard Walters,6,0.43,0.375,9.0,-7.958,0.0,0.0442,0.634,1.6e-06,0.126,0.218,153.995,audio_features,4dZOYn2YKHlRFDdYMabhNi,spotify:track:4dZOYn2YKHlRFDdYMabhNi,https://api.spotify.com/v1/tracks/4dZOYn2YKHlRFDdYMabhNi,https://api.spotify.com/v1/audio-analysis/4dZOYn2YKHlRFDdYMabhNi,215141.0,4.0
