,trackName,count
4420,Where's My Love - Alternate Version,15
1409,Goodbye Belongs to You,15
1438,Grow Something Beautiful,15
4279,Wasted Love,15
449,Blackbird,15
2917,Only Everything,15
3745,Swoon,15
2848,OK,15
2614,Moon,15
4193,Until the End - Acoustic,15
2659,Mr. Melancholy,14
4419,Where's My Love - Acoustic,14
4353,What If I Love You,14
1664,House of Cards,14
4589,You're Still the One,14
1245,For You,14
2706,Need You Now - Acoustic,14
3676,Stupid in Love,14
3924,The One Thing,14
3563,Sorry,14
4482,With Love and Compassion,14
2190,Landslide,14
2731,Never Stop (Wedding Version),14
3038,Photograph,14
2058,It's You,14
2032,Is She Gonna Be There?,14
4266,Wanted Man,14
1273,Freckles,14
3720,Supernova,14
1061,Everything Has Its Place,14
4203,Upset With Me,14
4884,this is how you fall in love,14
3524,Someday Soon - Single Version,14
195,Already Home,14
140,All About Us,14
1559,Here With Me,14
286,Autumn Love,14
4062,Till I Found You,14
4514,Worst of You,14
2461,Low,14
4436,Who Cares (feat. Ben Bannister),14
354,Beautiful Girl,14
2620,Moonlight,14
3174,Remember,14
3400,Shiloh,14
886,Digressions,13
282,Automatic,13
4810,permanent +1,13
1268,Fractions,13
3284,Sailboat Bed,13
2119,Just Someone With a Sweater On,13
3201,Rhythm Of Love,13
2038,Issues - Acoustic,13
2123,Just You and I - Acoustic,13
75,A Drop In the Ocean,13
3243,Roses Are Red (Violets Are Blue),13
2657,Mr. & Mrs. Beautiful,13
4256,Walk Outside,13
833,Darlin',13
3027,Perfect Color (Acoustic Version),13
3120,Put Me Back Together,13
1891,I'll Sing to You,13
21,12:45 - Stripped,13
472,Body,13
2847,ODDTAXI,13
2573,Miles Don't Mean Anything,13
1346,Girl from the Sidewalk,13
2815,Not That Far Away,13
1969,In Another Life,13
1352,Give & Take,13
112,Adeline,13
4069,Time of Our Lives,13
3346,Second Option,13
2563,Messengers,13
3190,Rest of Our Lives,13
1003,Emerald Eyes,13
3348,Secrets,13
59,7 Hours Ago,13
2151,Kingdom Come,13
703,Closer,13
1441,Growing Season,13
2199,Last One Standing,13
4005,This Beautiful Life,13
4636,better off,13
4613,Yung Luv,13
171,All for You,13
619,Caroline,13
2429,Love Worth Saving,13
269,As We Ran,13
3759,Take Me,13
3935,The Road Home,13
4158,Two Kids in Love,13
1149,Feathers & Gasoline,13
1162,Feelings,13
