,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
2064,Medicine,Havelin,12,0.487,0.537,7.0,-11.121,1.0,0.0291,0.374,2.27e-05,0.0825,0.459,149.98,1CZNFvZ2Dk7CoLCc5bTM1G,224437.0,4.0
2209,Never the 1,ROSIE,13,0.666,0.265,1.0,-12.129,1.0,0.166,0.907,0.0,0.123,0.332,85.335,3CvfUOkWsfTr7ZIjl6D9Uk,171960.0,4.0
1798,Let Her Go,Passenger,5,0.479,0.545,7.0,-7.346,1.0,0.0688,0.365,0.0,0.0963,0.243,74.897,1KxwZYyzWNyZSRyErj2ojT,252733.0,4.0
117,Alignments,Paige,1,0.528,0.255,2.0,-11.43,1.0,0.0288,0.895,0.00292,0.102,0.35,98.21,4tWTbyWplWyzFSdr8eji30,154408.0,4.0
499,Can't Wait To Be Pretty - Demo,Cate,21,,,,,,,,,,,,,,
145,All of Me,John Legend,8,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560.0,4.0
2744,Second Chances,Gregory Alan Isakov,1,0.381,0.325,4.0,-9.972,1.0,0.0305,0.947,0.0925,0.113,0.208,154.198,6Wu19AEKVNs5bJFuhZb4EZ,229227.0,3.0
1349,Hopelessness Has Done Nothing for Me,Johanna Warren,1,0.636,0.236,8.0,-12.71,0.0,0.0272,0.91,0.000277,0.106,0.425,81.938,68fu01WBd1maVHWnNNh90p,196406.0,4.0
2127,Mother May I,Sophia Viggiano,1,0.43,0.317,4.0,-9.37,1.0,0.0248,0.631,1.48e-05,0.1,0.297,82.92,59fFQA8Q9GKK5heQ6uKfZ5,164715.0,4.0
3935,hideous,mehro,1,0.637,0.53,4.0,-7.53,1.0,0.0301,0.529,0.0144,0.109,0.363,87.034,0c0uFehhA1ekbQmqZ0HKeb,193803.0,4.0
1074,Funeral,Phoebe Bridgers,4,0.218,0.263,11.0,-14.416,1.0,0.0376,0.947,0.00028,0.0919,0.307,170.724,3rJDsZjIaCfJQSqRUvl0BM,232373.0,4.0
1702,Just Because,Sadie Jean,7,0.544,0.629,3.0,-7.8,1.0,0.171,0.742,0.000203,0.145,0.453,90.327,6sy0CvtlBXtXDd6yTW0koJ,132097.0,4.0
3309,Together Forever,Nina Nesbitt,23,0.643,0.237,0.0,-12.16,1.0,0.0398,0.765,0.0,0.0766,0.334,104.998,1SJpIDrH94zG6kQssti5hv,152730.0,4.0
1003,Flowers,James Spaite,10,0.515,0.529,2.0,-11.268,1.0,0.0416,0.426,2.98e-05,0.101,0.253,125.063,3XeB68OvpRbeUDFNgaOTpm,149957.0,4.0
346,Bite The Hand,boygenius,1,0.543,0.507,10.0,-8.119,1.0,0.0269,0.374,0.0343,0.11,0.193,100.13,03h0ioes0mfaZIeAO1fV5o,192071.0,4.0
1244,Hazel Eyes,Farmer's Son,5,0.619,0.182,7.0,-17.936,1.0,0.136,0.826,0.00261,0.11,0.383,135.184,0eQO3k0qrUynKabFN9bmmx,226302.0,5.0
720,Devil Swear I've Seen,Mon RovÎa,1,0.513,0.424,4.0,-12.984,0.0,0.029,0.922,0.000313,0.0834,0.219,145.969,3ok9CGQsNMHRNgHeMH56mP,219452.0,4.0
4013,jackie,Anya Gupta,2,0.6,0.508,5.0,-9.906,1.0,0.136,0.818,0.000441,0.0843,0.537,92.98,5gmszQA3QQASFTpGXMFcPz,202004.0,4.0
2732,Scared to Be Happy,Navvy,21,0.41,0.476,7.0,-7.382,1.0,0.076,0.312,0.0,0.111,0.206,73.315,65iJBVVAcYGNeTnpFU8T09,157323.0,4.0
3805,can I call you back?,shy martin,58,0.647,0.319,9.0,-9.987,1.0,0.0367,0.827,0.0,0.133,0.267,126.243,3bWubl9oMzs5Z1n5KZXSSz,153059.0,4.0
880,Even When You're Home,Ben Kessler,28,0.561,0.467,1.0,-7.706,0.0,0.0637,0.108,3.25e-06,0.11,0.295,71.571,53QtJlMeBvJ5NXnUMtJnI8,211000.0,4.0
3884,familiar stranger,Lexie Carroll,3,0.692,0.445,1.0,-11.324,1.0,0.0792,0.789,0.000152,0.113,0.417,92.049,0a9lpF05qw91yDkcrZidlO,222360.0,4.0
2298,Nothing's the Same,Alexander 23,2,0.736,0.308,11.0,-11.543,1.0,0.0421,0.492,0.00248,0.179,0.439,132.767,3vSLSOhE8HWBC2WiN0j0hD,175135.0,4.0
3545,Where Are You?,Sara Kays,10,0.636,0.244,0.0,-10.799,1.0,0.0307,0.975,0.00601,0.0951,0.312,90.687,5GciaHmu1L9MVjV7wfHCUk,132048.0,4.0
3891,for life,Zachary Knowles,13,0.704,0.295,6.0,-11.083,1.0,0.0387,0.716,1.56e-05,0.133,0.427,130.011,3wD5R5grD04FKW0zsBuiKy,211677.0,4.0
1359,How,Elina,73,0.502,0.127,1.0,-13.642,1.0,0.0587,0.931,0.0,0.122,0.485,77.198,1M2HXn0iXRD7KDJqtdGARb,143704.0,4.0
505,Carolina,Paper Compass,3,0.379,0.175,0.0,-16.483,1.0,0.0367,0.931,0.863,0.0856,0.188,79.153,5JNJzPQgMEL0GqnM2IAfsm,213395.0,4.0
997,Flight Risk,Tommy Lefroy,38,0.348,0.165,6.0,-6.816,1.0,0.0439,0.418,0.0,0.162,0.109,47.971,0kAsY8KaG5sM6uwAEt3qyg,59027.0,4.0
1794,Lego Bricks,Euan Allison,16,0.579,0.319,9.0,-10.733,1.0,0.0318,0.893,0.0,0.1,0.25,82.484,0uyLUclfkxDjO1o7OR3Ckd,235818.0,3.0
3605,Wish It Would Rain,Londin Thompson,5,0.689,0.324,4.0,-10.13,1.0,0.088,0.967,0.0,0.0961,0.321,107.958,5VCuTKNg2x7w6ZtFKfCORJ,226917.0,4.0
3781,blue bird,Zachary Knowles,26,0.597,0.266,3.0,-8.973,1.0,0.028,0.805,0.0,0.128,0.352,129.981,6mvjHs3ARC10teeMFZ4kh5,221077.0,4.0
29,1953,The National Parks,10,0.562,0.237,4.0,-10.731,1.0,0.0333,0.773,3.05e-06,0.334,0.213,120.022,7BTaxfAMVLGSyvL8azJs4G,219906.0,4.0
2134,Mountaineer,Arliston,7,0.335,0.315,3.0,-14.236,1.0,0.0314,0.909,0.00242,0.173,0.143,105.863,6qgiIu9Up7oDWfQnaajvy3,221875.0,4.0
1745,Knock The Wind,Dizzy,1,0.622,0.227,2.0,-12.585,1.0,0.0341,0.791,2.62e-05,0.109,0.442,144.778,72elIQIbmE6rLBvXXsknK5,165720.0,4.0
979,Finish Line,Delaney Bailey,36,0.488,0.175,2.0,-16.332,1.0,0.0334,0.655,0.0111,0.33,0.192,109.192,03ZKxhlHbEK1L6xZHUEd5l,158049.0,5.0
1433,I Don't Need You To Survive,Delaney Bailey,36,0.386,0.138,3.0,-14.725,0.0,0.046,0.93,2.4e-06,0.297,0.416,109.346,5xBe1lhYyqrdYmxz1TPhTE,127567.0,3.0
4086,ocean eyes,Billie Eilish,2,0.475,0.37,4.0,-7.725,0.0,0.0361,0.819,0.0577,0.0841,0.157,144.828,2uIX8YMNjGMD7441kqyyNU,200560.0,4.0
1364,How Do I Tell You?,Lizzy McAlpine,53,0.551,0.162,7.0,-13.746,1.0,0.0623,0.921,2.49e-06,0.141,0.158,165.422,3s08bSH1iMzwpbt3EgF97W,186867.0,4.0
2189,Need You Now - Acoustic,Dean Lewis,18,0.601,0.317,10.0,-8.945,1.0,0.0497,0.911,0.0,0.181,0.381,137.95,1MIpU2U1kUInGTpaCYuVKs,203263.0,4.0
3056,Sweet Connection,Jessica Ricca,26,0.313,0.0643,7.0,-19.556,1.0,0.0568,0.988,0.00101,0.3,0.214,167.171,5wQOqmOsCZpwW0MRrIVF1H,200673.0,4.0
1525,I'd Have to Think About It,Leith Ross,20,,,,,,,,,,,,,,
4203,the first one,carobae,41,0.739,0.399,1.0,-10.057,1.0,0.0556,0.803,0.0,0.162,0.489,104.009,5X8DWoEdCncXB5FcezQOE6,167867.0,4.0
4161,so much more than me,Annika Bennett,5,0.36,0.311,6.0,-10.01,1.0,0.0358,0.808,0.0,0.17,0.398,89.711,6k6oLo408zUNmrZLydLArZ,186864.0,4.0
1088,Gets Better,Catie Turner,5,0.711,0.371,1.0,-7.552,1.0,0.0426,0.449,0.0,0.119,0.283,61.537,3BUJoae7vqMVMay5GDLDdH,180055.0,4.0
1294,Hey There Delilah,Plain White T's,21,0.656,0.291,2.0,-10.572,1.0,0.0293,0.872,0.0,0.114,0.298,103.971,4RCWB3V8V0dignt99LZ8vH,232533.0,4.0
1228,Harsh,Eleni Drake,14,0.748,0.427,4.0,-9.49,1.0,0.0377,0.865,0.00452,0.137,0.443,118.037,5dZviWBtcGM8Ilr5MAisNz,134237.0,4.0
170,Always Almost,Rosie Darling,19,0.383,0.372,0.0,-8.453,1.0,0.0816,0.722,0.0,0.171,0.325,166.944,35FwQrg7thq6kjrHL01QiJ,202053.0,3.0
2627,Rhythm Inside - Acoustic,Calum Scott,1,0.714,0.404,2.0,-5.205,0.0,0.0352,0.864,0.0,0.117,0.251,120.376,5JOxwrZEbtvg19Y1JDbyI9,212171.0,4.0
2089,Mirage,Elina,38,0.515,0.251,6.0,-11.646,0.0,0.0851,0.794,0.0,0.139,0.221,117.139,1emAqEEKHGpdFx6H2YJTiG,164898.0,4.0
212,Are You Alright?,Ulrik Munther,3,0.385,0.0596,7.0,-22.701,1.0,0.0441,0.96,0.0491,0.276,0.318,58.568,5Gi9PNrnsQHCnI5EYelkIG,280000.0,4.0
1189,Half In Love,Erin Kirby,7,,,,,,,,,,,,,,
3938,hit the dirt,gavn!,3,0.44,0.369,2.0,-10.205,1.0,0.0423,0.385,0.0,0.145,0.531,103.991,57cAiaSBKidKHqBC1FePPn,138462.0,4.0
1037,Forget I Exist,Sam MacPherson,51,0.662,0.399,7.0,-8.933,1.0,0.0314,0.491,2.4e-05,0.127,0.265,96.05,54q7FLhWb9FEObFBziNRTq,172627.0,4.0
642,Crumble,Jeremiah Daly,5,0.587,0.174,4.0,-12.803,1.0,0.0304,0.798,8.21e-05,0.111,0.166,114.053,48HzQ7X72qT0VB7Slgwwuf,220840.0,3.0
2059,Meant To Be,Ashaine White,3,0.34,0.0962,7.0,-15.619,1.0,0.0348,0.949,6.51e-06,0.0948,0.213,154.696,7HDoHeBjcNz3hpspK4WiwH,165000.0,3.0
